profile_id,opportunity_id,chat_message,major,city,skills,interest,program_type,work_mode,company_name,program_name,opportunity_role_cluster,opportunity_required_skills,opportunity_preferred_skills,target_score,predicted_score,absolute_error
ds-remote-coop,155,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Laverne Group | مجموعة لافيرن,Data Analyst / Data Engineer Intern (IT Department),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,41.83,60.39005993747662,18.560059937476623
ce-network-dhahran,162,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,SAS,CareerStart@SAS 2026 - Presales Customer Intelligence Intern (Riyadh),General Computing,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,33.0,51.49419075762892,18.49419075762892
eastern-province-cys,144,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Mirai (Scopely) | مِراي,AI Engineering Intern (GenAI),Machine Learning,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,34.5,52.91249149205754,18.41249149205754
eastern-province-cys,50,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,SAB (Saudi Awwal Bank) | Cooperative Training Programme (COOP),SAB Cooperative Training Programme (COOP),General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,40.0,58.22438136912573,18.22438136912573
ce-network-dhahran,169,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Snbla | سنبله,Paid Internship Program (FinTech),FinTech,python; apis; sql; git,docker; testing; cloud; rest apis,33.0,51.16846110212997,18.168461102129967
ce-network-dhahran,106,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Bank AlJazira,Tamheer Program,General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,30.0,48.10720899440987,18.107208994409874
no-interview-ft,112,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Emdad By Elm,Network Cooperative Training (Network Intern),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,29.5,47.44749134379669,17.947491343796692
ce-network-dhahran,164,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,ضالتي Dhallaty,Tech Intern: Fresh Grad or Student,General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,33.0,50.87609693955722,17.876096939557222
ce-network-dhahran,161,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,AFNOYS,"AI Automation Intern - KSA (Remote, 4 weeks)",General Computing,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,34.5,52.333412375510704,17.833412375510704
ce-network-dhahran,147,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,nybl,nybl Graduate Programme – Saudi Nationals (AI Bootcamp),Machine Learning,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,30.0,47.7882283451164,17.7882283451164
cs-iau-backend,98,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,47.0,64.686314828329,17.686314828329003
ds-remote-coop,150,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Boeing Saudi Arabia Limited,Intern - Info Technology & Data Analytics (Riyadh),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,41.83,59.38916091305624,17.55916091305624
ce-network-dhahran,150,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Boeing Saudi Arabia Limited,Intern - Info Technology & Data Analytics (Riyadh),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,41.5,58.98359194608943,17.483591946089433
eastern-province-cys,152,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Schneider Electric,Co-op Intern (Engineering) - Al Khobar (Jan–Aug 2026),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,82.5,65.09351411380608,17.40648588619392
ds-remote-coop,124,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,InnovationTeam,Java Microservices Internship Programme (Saudi Nationals),Software Engineering,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis; typescript; ui testing,40.67,58.06329176919641,17.39329176919641
eastern-province-cys,111,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,EJADA,COOP Administration & Support Engineer,SOC Operations,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,77.0,59.69462021927367,17.305379780726327
ds-remote-coop,133,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Help AG (e& enterprise),Cybersecurity Intern,Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,30.0,47.183147435096224,17.183147435096224
eastern-province-cys,162,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,SAS,CareerStart@SAS 2026 - Presales Customer Intelligence Intern (Riyadh),General Computing,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,33.0,50.138261302425896,17.138261302425896
ce-network-dhahran,145,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,HungerStation | هنقرستيشن,"Co-OP Trainee, Data Analysis – Info Sec",Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,51.5,68.63484786603343,17.134847866033425
ce-network-dhahran,122,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,moneymoon,Tech & AI Co-op Program 2025,SOC Operations,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,51.5,68.59547231026379,17.095472310263787
ds-remote-coop,79,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Tabby,Intern Data Engineer,Data Engineering,python; apis; sql; git; machine learning; data analysis; etl,docker; testing; cloud; rest apis; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,41.17,58.25921711733105,17.089217117331046
eastern-province-cys,169,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Snbla | سنبله,Paid Internship Program (FinTech),FinTech,python; apis; sql; git,docker; testing; cloud; rest apis,33.0,49.68930373224213,16.68930373224213
qual-ielts-intern,97,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,Saudi Motorsport Company (SMC),COOP Trainee (IT Asset Project Management),General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,69.83,53.35072443031652,16.47927556968348
ce-network-dhahran,123,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,EjadTech - إيجاد التقنية,"Summer Internship Program 2025 (Computer, Data, and AI Majors)",Software Engineering,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,35.5,51.91454148060426,16.414541480604257
no-interview-ft,38,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,BSF (Banque Saudi Fransi),COOP / Internship,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,29.5,45.895631522139375,16.395631522139375
cs-iau-backend,159,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Knodemy Inc.,AI Developer & Tech Trainer Intern - Riyadh,General Computing,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,88.5,72.11180836252177,16.38819163747823
ds-remote-coop,61,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,KAUST,Visiting Student Research Program (VSRP) Internship,Machine Learning,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,34.67,51.0257297812083,16.355729781208296
ce-network-dhahran,50,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,SAB (Saudi Awwal Bank) | Cooperative Training Programme (COOP),SAB Cooperative Training Programme (COOP),General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,40.0,56.32902551900603,16.32902551900603
remote-only-de,112,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Emdad By Elm,Network Cooperative Training (Network Intern),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,50.58128990775172,16.081289907751717
ce-network-dhahran,116,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Lucidya,Technical Internship or Coop – Lucidya,Machine Learning,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,51.5,67.58077180760681,16.08077180760681
ds-scientist-jeddah,134,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,TrendAI (Trend Micro),CyberGATE Internship Program,Cybersecurity,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,33.0,49.07027156292731,16.07027156292731
ds-gpa-ielts,167,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,DS,Riyadh,sql; python,,Internship,On-site,TAM | تام,"Tamheer Opportunity, Advisory",General Computing,,,36.5,20.502869511662105,15.997130488337895
ds-remote-coop,17,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Boston Consulting Group (BCG),Visiting Associate Internship (Riyadh),General Computing,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,40.0,55.755578273242776,15.755578273242776
ds-remote-coop,3,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,stc (Saudi Telecom Company),Cooperative Training Program (COOP),General Computing,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,40.0,55.755578273242776,15.755578273242776
ds-scientist-jeddah,3,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,stc (Saudi Telecom Company),Cooperative Training Program (COOP),General Computing,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,38.5,54.15950106591119,15.659501065911194
ds-scientist-jeddah,17,Data science student at KAU in Jeddah looking for data scientist COOP with statistics and Python.,DS,Jeddah,python; sql; numpy,Data Science,COOP,Hybrid,Boston Consulting Group (BCG),Visiting Associate Internship (Riyadh),General Computing,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,38.5,54.15950106591119,15.659501065911194
eastern-province-cys,47,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Microsoft | Ru'aa Program (Riyadh),Ru'aa Program Internship (Solution Engineering),Machine Learning,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,34.5,50.092472381419775,15.592472381419775
cs-iau-backend,47,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Microsoft | Ru'aa Program (Riyadh),Ru'aa Program Internship (Solution Engineering),Machine Learning,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,85.5,69.92262192507802,15.577378074921981
eastern-province-cys,143,Cybersecurity student in Dammam open to Khobar and Dhahran SOC roles.,CYS,Dammam,linux,,COOP,On-site,Lean Technologies,Software Engineering Intern – KSA,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,34.5,49.97685036123425,15.476850361234249
ce-network-dhahran,113,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,AILA,Co-op Training Programme,General Computing,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,44.5,59.9152379989584,15.415237998958403
remote-only-de,20,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Amazon Web Services (AWS) - Associate Solutions Architect Intern,Associate Solutions Architect Intern (2026),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,49.87479557207353,15.37479557207353
remote-only-de,136,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Siemens Healthineers,Healthineers Early Talent Program – IT (Riyadh),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,49.87479557207353,15.37479557207353
cs-iau-backend,38,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,BSF (Banque Saudi Fransi),COOP / Internship,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,42.5,57.84367361945292,15.343673619452922
cs-iau-backend,80,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,Tabby,No-Code / AI Agents Engineering Intern,General Computing,python; apis; sql; git; machine learning; data analysis; etl,docker; testing; cloud; rest apis; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,85.5,70.27604150443779,15.223958495562215
cs-iau-backend,158,CS student at IAU with Python and SQL seeking backend developer internship in Riyadh or Dammam.,CS,Riyadh,python; sql,,Internship,Hybrid,SMART Technology Solutions | سمارت لحلول التقنية,R&D Intern (Riyadh),General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,85.5,70.27604150443779,15.223958495562215
ce-network-dhahran,77,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Tabby,Intern Backend (GO) Engineer,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,39.0,53.999171569028725,14.999171569028725
ce-network-dhahran,108,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Gathern,Co-op Program,Software Engineering,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,49.0,63.94808110477679,14.94808110477679
qual-ielts-intern,138,Business-oriented CIS student with IELTS 6.5 seeking internship in Jeddah.,CIS,Jeddah,excel; sql,,Internship,On-site,Nokia,Graduate Trainee (Saudi Arabia) – Fledgers Program,Data Analytics,networking; linux; security fundamentals; cybersecurity fundamentals; python; machine learning; data analysis; sql; etl,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,39.17,54.1047082701771,14.934708270177097
ce-network-dhahran,144,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Mirai (Scopely) | مِراي,AI Engineering Intern (GenAI),Machine Learning,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,39.0,53.87215495997425,14.872154959974253
ds-remote-coop,78,DS student seeking remote COOP in machine learning and data analysis.,DS,,python; pandas; scikit-learn,,COOP,Remote,Tabby,Intern Frontend Engineer,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,39.17,54.00906765546037,14.839067655460369
no-interview-ft,152,Fintech student seeking internship with no interview required in Riyadh.,FT,Riyadh,sql,,Internship,,Schneider Electric,Co-op Intern (Engineering) - Al Khobar (Jan–Aug 2026),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,29.5,44.33105910943432,14.831059109434321
remote-only-de,98,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Saudi Motorsport Company (SMC),COOP Trainee (Supply Chain Excellence Associate),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,34.5,49.28570168080924,14.78570168080924
ce-network-dhahran,6,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Capital Market Authority (CMA),COOP Program,General Computing,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,40.0,54.71500738726055,14.715007387260549
remote-only-de,17,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,Boston Consulting Group (BCG),Visiting Associate Internship (Riyadh),General Computing,linux; networking; cybersecurity fundamentals; security fundamentals,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring,34.5,49.10922996573714,14.609229965737143
remote-only-de,3,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,stc (Saudi Telecom Company),Cooperative Training Program (COOP),General Computing,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,34.5,49.10922996573714,14.609229965737143
ce-network-dhahran,74,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Saudi Awwal Bank (SAB),COOP Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis,47.0,61.58177421099042,14.581774210990417
ce-network-dhahran,41,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Bank Albilad,Cooperative and Summer Training Program,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis,47.0,61.58177421099042,14.581774210990417
ce-network-dhahran,100,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,Saudi Awwal Bank (SAB),Student Opportunities: Cooperative / Practical Training,Cybersecurity,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis,47.0,61.58177421099042,14.581774210990417
